,Bins
magic.1000,False
magic.1004,False
magic.1017,False
magic.1054,False
magic.1059,False
magic.1065,False
magic.1066,True
magic.0106,False
magic.1071,False
magic.1078,False
magic.1085,False
magic.1090,False
magic.1091,False
magic.1115,True
magic.1120,True
magic.1124,False
magic.1139,False
magic.1143,True
magic.0116,False
magic.1170,False
magic.1173,False
magic.1175,True
magic.1178,False
magic.1179,False
magic.1182,True
magic.1186,False
magic.1187,False
magic.1198,True
magic.1199,False
magic.1200,False
magic.1208,False
magic.1213,False
magic.1214,False
magic.1216,False
magic.1217,False
magic.1222,False
magic.1224,False
magic.1251,False
magic.1258,False
magic.1261,False
magic.1262,False
magic.1265,False
magic.1268,False
magic.1275,False
magic.1281,False
magic.1285,False
magic.1289,False
magic.1292,False
magic.1297,True
magic.1300,True
magic.1307,False
magic.1338,False
magic.1360,False
magic.1367,False
magic.1386,False
magic.1405,False
magic.1414,False
magic.1417,False
magic.0141,False
magic.1426,False
magic.1429,False
magic.1431,False
magic.1435,False
magic.1437,False
magic.0143,True
magic.1444,False
magic.1446,False
magic.1471,True
magic.1473,True
magic.1485,False
magic.1506,False
magic.1511,True
magic.0151,False
magic.1528,True
magic.1541,False
magic.1562,True
magic.1587,False
magic.1594,False
magic.1595,True
magic.1599,False
magic.0159,True
magic.1605,False
magic.1607,True
magic.1622,False
magic.1630,True
magic.1636,False
magic.1639,True
magic.1653,False
magic.1656,False
magic.1666,False
magic.1694,False
magic.1701,False
magic.1705,False
magic.1722,False
magic.1749,False
magic.1753,True
magic.1767,False
magic.0183,False
magic.0200,False
magic.0203,False
magic.0208,False
magic.0213,True
magic.0228,True
magic.0230,False
magic.0235,False
magic.0236,True
magic.0240,True
magic.0247,True
magic.0024,False
magic.0251,True
magic.0261,False
magic.0026,False
magic.0271,False
magic.0288,False
magic.0305,False
magic.0313,True
magic.0320,False
magic.0330,False
magic.0340,False
magic.0351,False
magic.0363,False
magic.0364,True
magic.0375,False
magic.0377,False
magic.0398,True
magic.0039,False
magic.0406,False
magic.0419,False
magic.0041,False
magic.0427,True
magic.0430,False
magic.0432,False
magic.0437,False
magic.0447,False
magic.0449,False
magic.0452,False
magic.0046,False
magic.0506,False
magic.0512,False
magic.0051,False
magic.0520,False
magic.0534,True
magic.0535,True
magic.0544,True
magic.0546,False
magic.0559,False
magic.0560,False
magic.0574,False
magic.0577,False
magic.0585,False
magic.0587,False
magic.0590,False
magic.0600,False
magic.0608,False
magic.0610,False
magic.0618,False
magic.0619,False
magic.0621,True
magic.0624,True
magic.0062,True
magic.0635,False
magic.0645,False
magic.0648,False
magic.0064,False
magic.0651,False
magic.0655,False
magic.0659,False
magic.0663,False
magic.0667,False
magic.0673,True
magic.0679,True
magic.0690,False
magic.0695,False
magic.0706,True
magic.0070,True
magic.0710,False
magic.0713,False
magic.0716,False
magic.0725,False
magic.0072,False
magic.0733,True
