,Bins
magic.0734,False
magic.0073,False
magic.0743,True
magic.0746,False
magic.0753,False
magic.0767,False
magic.0775,False
magic.0777,False
magic.0077,False
magic.0784,False
magic.0796,False
magic.0807,True
magic.0080,False
magic.0812,False
magic.0813,True
magic.0814,False
magic.0815,False
magic.0825,False
magic.0829,False
magic.0839,False
magic.0841,False
magic.0844,False
magic.0846,False
magic.0855,False
magic.0856,False
magic.0866,False
magic.0867,True
magic.0871,True
magic.0879,False
magic.0880,False
magic.0887,False
magic.0893,False
magic.0894,True
magic.0898,False
magic.0008,False
magic.0903,False
magic.0904,False
magic.0909,False
magic.0910,True
magic.0933,True
magic.0935,False
magic.0936,False
magic.0938,True
magic.0941,False
magic.0952,False
magic.0960,False
magic.0962,False
magic.0964,False
magic.0966,True
magic.0967,False
magic.0970,False
magic.0985,False
magic.0993,True
magic.0001,False
magic.0004,False
magic.0006,True
magic.0007,True
magic.0010,False
magic.0011,False
magic.0012,False
magic.0013,False
magic.0014,True
magic.0015,True
magic.0016,False
magic.0017,False
magic.0018,True
magic.0019,True
magic.0020,False
magic.0021,False
magic.0022,False
magic.0023,False
magic.0025,False
magic.0027,True
magic.0028,True
magic.0030,True
magic.0031,False
magic.0033,False
magic.0034,False
magic.0035,False
magic.0037,True
magic.0038,False
magic.0040,False
magic.0042,True
magic.0043,False
magic.0044,True
magic.0045,True
magic.0048,True
magic.0049,False
magic.0050,False
magic.0052,False
magic.0053,False
magic.0059,False
magic.0060,False
magic.0063,False
magic.0068,False
magic.0071,False
magic.0074,False
magic.0075,False
magic.0078,True
magic.0079,False
magic.0081,False
magic.0083,True
magic.0084,True
magic.0085,True
magic.0089,True
magic.0094,True
magic.0096,False
magic.0097,False
magic.0100,False
magic.0101,False
magic.0103,False
magic.0104,False
magic.0107,False
magic.0108,False
magic.0109,False
magic.0110,False
magic.0111,False
magic.0112,False
magic.0113,False
magic.0115,True
magic.0117,False
magic.0119,True
magic.0120,True
magic.0121,False
magic.0122,True
magic.0123,False
magic.0124,True
magic.0125,True
magic.0128,False
magic.0131,False
magic.0132,False
magic.0133,False
magic.0134,False
magic.0135,False
magic.0136,False
magic.0140,False
magic.0142,False
magic.0145,True
magic.0146,False
magic.0148,True
magic.0149,False
magic.0150,False
magic.0152,True
magic.0154,False
magic.0156,False
magic.0158,False
magic.0162,False
magic.0164,False
magic.0166,False
magic.0167,False
magic.0168,False
magic.0170,False
magic.0171,False
magic.0172,True
magic.0173,True
magic.0174,True
magic.0175,False
magic.0176,True
magic.0178,True
magic.0179,False
magic.0180,True
magic.0182,False
magic.0185,False
magic.0186,True
magic.0189,False
magic.0195,True
magic.0197,True
magic.0205,True
magic.0214,True
magic.0215,False
magic.0216,True
magic.0217,False
magic.0218,True
magic.0220,True
magic.0221,True
magic.0225,False
magic.0227,True
magic.0231,True
magic.0232,False
magic.0233,False
magic.0234,True
magic.0238,True
magic.0242,False
magic.0243,False
magic.0244,False
magic.0245,False
magic.0246,False
magic.0249,False
magic.0253,False
magic.0255,True
magic.0258,False
magic.0260,False
magic.0263,False
magic.0264,True
magic.0265,True
magic.0266,True
magic.0268,False
magic.0269,False
magic.0270,False
magic.0272,False
magic.0273,True
magic.0275,True
magic.0276,True
magic.0277,False
magic.0278,False
magic.0279,True
magic.0281,True
magic.0283,True
magic.0284,False
magic.0287,False
magic.0290,False
magic.0291,True
magic.0293,False
magic.0298,False
magic.0300,True
magic.0302,False
magic.0303,True
magic.0304,False
magic.0307,True
magic.0308,True
magic.0309,False
magic.0311,False
magic.0312,False
magic.0314,False
magic.0315,False
magic.0316,False
magic.0317,False
magic.0318,True
magic.0319,False
magic.0321,True
magic.0322,False
magic.0324,True
magic.0325,True
magic.0327,False
magic.0328,False
magic.0331,True
magic.0333,False
magic.0334,False
magic.0335,False
magic.0336,False
magic.0337,False
magic.0339,False
magic.0341,True
magic.0342,False
magic.0343,False
magic.0344,False
magic.0348,False
magic.0349,False
magic.0353,False
magic.0358,False
magic.0360,True
magic.0361,False
magic.0365,True
magic.0367,False
magic.0368,True
magic.0369,False
magic.0370,False
magic.0372,False
magic.0374,False
magic.0378,False
magic.0379,True
magic.0380,False
magic.0385,False
magic.0386,False
magic.0387,False
magic.0389,False
magic.0390,False
magic.0392,True
magic.0394,True
magic.0395,False
magic.0396,False
magic.0397,True
magic.0399,False
magic.0400,True
magic.0401,False
magic.0402,False
magic.0403,True
magic.0408,False
magic.0409,False
magic.0410,True
magic.0411,False
magic.0413,False
magic.0414,True
magic.0415,True
magic.0416,True
magic.0417,False
magic.0418,True
magic.0420,False
magic.0421,True
magic.0422,False
magic.0423,False
magic.0426,False
magic.0428,False
magic.0429,True
magic.0431,False
magic.0433,False
magic.0434,True
magic.0435,False
magic.0436,False
magic.0438,True
magic.0439,False
magic.0440,False
magic.0441,False
magic.0442,True
magic.0444,True
magic.0445,False
magic.0448,True
magic.0450,True
magic.0451,True
magic.0453,False
magic.0455,True
magic.0456,False
magic.0457,True
magic.0458,True
magic.0459,False
magic.0460,False
magic.0461,False
magic.0462,True
magic.0464,True
magic.0465,False
magic.0467,False
magic.0470,True
magic.0471,False
magic.0472,True
magic.0473,False
magic.0475,False
magic.0477,False
magic.0478,False
magic.0480,True
magic.0481,False
magic.0482,True
magic.0484,False
magic.0485,False
magic.0487,False
magic.0490,True
magic.0493,False
magic.0495,False
magic.0496,False
magic.0497,True
magic.0498,True
magic.0499,True
magic.0500,True
magic.0502,True
magic.0503,True
magic.0513,False
magic.0514,False
magic.0515,True
magic.0516,False
magic.0517,False
magic.0518,True
magic.0519,False
magic.0522,False
magic.0524,False
magic.0525,False
magic.0526,False
magic.0527,True
magic.0529,False
magic.0531,False
magic.0532,False
magic.0533,False
magic.0536,True
magic.0537,True
magic.0538,False
magic.0539,True
magic.0541,False
magic.0542,False
magic.0543,True
magic.0547,False
magic.0548,True
magic.0549,True
magic.0551,True
magic.0552,False
magic.0553,True
magic.0554,True
magic.0555,True
magic.0558,True
magic.0561,True
magic.0563,True
magic.0564,True
magic.0569,False
magic.0570,False
magic.0571,False
magic.0572,True
magic.0573,False
magic.0579,True
magic.0580,True
magic.0583,False
magic.0584,False
magic.0588,True
magic.0589,False
magic.0592,False
magic.0593,False
magic.0594,True
magic.0597,True
magic.0601,False
magic.0602,True
magic.0604,False
magic.0605,True
magic.0606,False
magic.0609,True
magic.0612,False
magic.0614,False
magic.0615,True
magic.0620,False
magic.0622,False
magic.0625,True
magic.0626,False
magic.0627,True
magic.0628,False
magic.0630,False
magic.0631,False
magic.0632,True
magic.0633,False
magic.0634,False
magic.0637,False
magic.0638,False
magic.0640,False
magic.0643,True
magic.0644,True
magic.0646,False
magic.0647,False
magic.0649,False
magic.0652,True
magic.0653,True
magic.0654,False
magic.0656,False
magic.0657,False
magic.0658,False
magic.0662,True
magic.0664,True
magic.0665,True
magic.0666,True
magic.0671,False
magic.0672,True
magic.0674,False
magic.0676,True
magic.0677,True
magic.0678,False
magic.0680,True
magic.0681,False
magic.0683,True
magic.0684,False
magic.0687,False
magic.0691,False
magic.0692,False
magic.0694,True
magic.0696,True
magic.0697,False
magic.0699,True
magic.0700,True
magic.0701,True
magic.0703,False
magic.0704,True
magic.0705,False
magic.0707,True
magic.0711,False
magic.0712,False
magic.0714,False
magic.0715,False
magic.0717,False
magic.0718,True
magic.0719,False
magic.0721,True
magic.0722,False
magic.0723,True
magic.0724,False
magic.0727,False
magic.0729,True
magic.0730,False
magic.0731,False
magic.0732,False
magic.0735,True
magic.0737,True
magic.0738,False
magic.0739,True
magic.0740,False
magic.0742,True
magic.0744,False
magic.0747,False
magic.0748,True
magic.0749,False
magic.0752,False
magic.0754,True
magic.0755,False
magic.0756,True
magic.0759,True
magic.0761,True
magic.0762,True
magic.0763,True
magic.0765,False
magic.0766,True
magic.0768,False
magic.0769,False
magic.0771,False
magic.0772,False
magic.0773,False
magic.0778,False
magic.0779,False
magic.0780,True
magic.0781,False
magic.0782,False
magic.0783,True
magic.0785,False
magic.0786,True
magic.0788,True
magic.0790,True
magic.0792,True
magic.0794,True
magic.0795,True
magic.0797,True
magic.0800,True
magic.0802,True
magic.0803,True
magic.0806,False
magic.0808,False
magic.0811,False
magic.0816,True
magic.0817,False
magic.0818,False
magic.0819,True
magic.0820,True
magic.0821,False
magic.0822,True
magic.0824,False
magic.0827,False
magic.0828,False
magic.0830,True
magic.0831,True
magic.0832,False
magic.0834,True
magic.0835,True
magic.0836,True
magic.0837,True
magic.0840,True
magic.0842,False
magic.0845,False
magic.0847,True
magic.0848,True
magic.0849,True
magic.0850,False
magic.0853,False
magic.0857,True
magic.0859,True
magic.0860,True
magic.0862,True
magic.0865,True
magic.0868,False
magic.0870,True
magic.0872,True
magic.0873,True
magic.0874,True
magic.0875,True
magic.0876,True
magic.0877,True
magic.0878,False
magic.0881,False
magic.0882,True
magic.0883,False
magic.0884,True
magic.0885,False
magic.0886,True
magic.0888,False
magic.0889,False
magic.0890,True
magic.0891,False
magic.0895,True
magic.0896,True
magic.0901,True
magic.0902,True
magic.0905,False
magic.0906,True
magic.0908,True
magic.0911,True
magic.0913,False
magic.0914,False
magic.0916,False
magic.0918,True
magic.0920,True
magic.0921,False
magic.0922,False
magic.0929,False
magic.0930,False
magic.0931,True
magic.0934,True
magic.0937,False
magic.0939,False
magic.0940,False
magic.0942,True
magic.0943,True
magic.0944,False
magic.0946,False
magic.0947,False
magic.0949,False
magic.0950,False
magic.0951,True
magic.0954,True
magic.0955,True
magic.0956,False
magic.0957,True
magic.0959,False
magic.0961,False
magic.0963,False
magic.0972,False
magic.0973,True
magic.0974,False
magic.0975,False
magic.0976,False
magic.0977,False
magic.0978,False
magic.0979,False
magic.0983,False
magic.0986,True
magic.0987,False
magic.0988,False
magic.0989,False
magic.0990,False
magic.0991,False
magic.0998,True
magic.0999,False
magic.1001,True
magic.1002,True
magic.1003,False
magic.1005,True
magic.1006,False
magic.1008,True
magic.1009,True
magic.1010,False
magic.1011,True
magic.1013,True
magic.1016,False
magic.1018,False
magic.1021,False
magic.1022,True
magic.1023,True
magic.1027,False
magic.1028,False
magic.1029,True
magic.1031,True
magic.1032,True
magic.1033,True
magic.1034,True
magic.1036,False
magic.1037,True
magic.1038,True
magic.1039,False
magic.1040,True
magic.1041,False
magic.1043,True
magic.1044,False
magic.1045,True
magic.1046,True
magic.1047,True
magic.1048,False
magic.1049,False
magic.1050,False
magic.1053,False
magic.1056,True
magic.1057,False
magic.1061,True
magic.1062,True
magic.1063,False
magic.1064,True
magic.1068,False
magic.1070,False
magic.1074,False
magic.1075,True
magic.1076,False
magic.1079,False
magic.1080,False
magic.1081,False
magic.1082,True
magic.1083,False
magic.1086,False
magic.1089,False
magic.1093,False
magic.1094,False
magic.1095,False
magic.1097,False
magic.1099,True
magic.1101,True
magic.1103,False
magic.1104,False
magic.1105,False
magic.1106,False
magic.1109,True
magic.1112,False
magic.1113,True
magic.1114,True
magic.1116,True
magic.1118,False
magic.1119,True
magic.1121,False
magic.1122,False
magic.1126,True
magic.1127,False
magic.1129,False
magic.1130,False
magic.1131,False
magic.1132,True
magic.1133,True
magic.1134,False
magic.1135,False
magic.1136,False
magic.1137,True
magic.1138,False
magic.1142,True
magic.1144,False
magic.1145,True
magic.1147,False
magic.1150,False
magic.1151,False
magic.1153,False
magic.1154,False
magic.1155,False
magic.1156,True
magic.1157,False
magic.1158,False
magic.1159,False
magic.1160,False
magic.1161,False
magic.1163,False
magic.1169,True
magic.1171,True
magic.1172,True
magic.1174,False
magic.1176,False
magic.1180,False
magic.1181,True
magic.1184,False
magic.1188,False
magic.1189,False
magic.1190,True
magic.1191,False
magic.1192,True
magic.1194,False
magic.1195,False
magic.1196,False
magic.1197,False
magic.1202,True
magic.1203,False
magic.1204,False
magic.1206,True
magic.1207,False
magic.1209,False
magic.1210,False
magic.1215,False
magic.1218,False
magic.1220,True
magic.1221,False
magic.1223,True
magic.1225,True
magic.1226,True
magic.1227,False
magic.1228,False
magic.1230,False
magic.1232,False
magic.1234,False
magic.1235,False
magic.1236,False
magic.1237,False
magic.1238,False
magic.1239,True
magic.1241,True
magic.1242,False
magic.1245,False
magic.1247,False
magic.1248,False
magic.1252,False
magic.1254,True
magic.1255,True
magic.1256,False
magic.1257,True
magic.1260,False
magic.1264,False
magic.1269,False
magic.1271,False
magic.1272,False
magic.1273,False
magic.1274,True
magic.1276,True
magic.1277,False
magic.1278,False
magic.1279,True
magic.1280,False
magic.1282,True
magic.1283,False
magic.1286,True
magic.1287,False
magic.1288,True
magic.1290,False
magic.1291,True
magic.1293,False
magic.1294,False
magic.1295,False
magic.1296,False
magic.1298,True
magic.1301,False
magic.1302,False
magic.1303,False
magic.1304,False
magic.1305,False
magic.1306,False
magic.1309,True
magic.1310,False
magic.1311,False
magic.1312,True
magic.1313,True
magic.1314,True
magic.1316,True
magic.1317,True
magic.1318,False
magic.1319,False
magic.1320,True
magic.1321,True
magic.1322,True
magic.1323,True
magic.1325,True
magic.1326,False
magic.1327,False
magic.1328,False
magic.1330,True
magic.1331,True
magic.1332,False
magic.1333,True
magic.1334,False
magic.1335,False
magic.1336,False
magic.1337,False
magic.1339,False
magic.1341,False
magic.1342,True
magic.1343,False
magic.1345,False
magic.1348,False
magic.1349,False
magic.1351,True
magic.1352,False
magic.1353,True
magic.1354,False
magic.1356,False
magic.1358,False
magic.1362,False
magic.1363,False
magic.1365,True
magic.1366,True
magic.1368,False
magic.1369,False
magic.1370,False
magic.1373,False
magic.1374,True
magic.1376,True
magic.1377,True
magic.1379,False
magic.1382,True
magic.1383,True
magic.1387,True
magic.1388,True
magic.1391,False
magic.1394,True
magic.1395,False
magic.1396,False
magic.1397,False
magic.1398,True
magic.1399,False
magic.1400,False
magic.1402,False
magic.1403,False
magic.1404,False
magic.1407,True
magic.1408,False
magic.1412,False
magic.1413,False
magic.1415,False
magic.1418,True
magic.1419,False
magic.1420,False
magic.1424,False
magic.1425,False
magic.1427,True
magic.1428,False
magic.1430,False
magic.1432,False
magic.1433,False
magic.1434,False
magic.1436,False
magic.1438,False
magic.1440,False
magic.1442,True
magic.1443,True
magic.1445,False
magic.1448,False
magic.1450,False
magic.1451,False
magic.1452,False
magic.1453,False
magic.1455,False
magic.1456,False
magic.1457,False
magic.1460,True
magic.1461,True
magic.1462,True
magic.1463,False
magic.1464,True
magic.1465,False
magic.1467,True
magic.1468,True
magic.1469,True
magic.1470,False
magic.1472,False
magic.1474,False
magic.1475,False
magic.1476,False
magic.1478,False
magic.1479,False
magic.1480,False
magic.1481,False
magic.1482,False
magic.1484,True
magic.1486,True
magic.1488,False
magic.1489,False
magic.1490,False
magic.1493,False
magic.1494,True
magic.1495,False
magic.1496,True
magic.1497,False
magic.1499,False
magic.1501,False
magic.1502,False
magic.1504,False
magic.1508,True
magic.1510,False
magic.1514,False
magic.1516,False
magic.1518,True
magic.1519,False
magic.1521,True
magic.1523,False
magic.1525,False
magic.1526,False
magic.1527,False
magic.1529,True
magic.1530,True
magic.1534,False
magic.1536,True
magic.1537,False
magic.1538,True
magic.1539,False
magic.1540,True
magic.1542,False
magic.1543,False
magic.1546,False
magic.1553,False
magic.1555,False
magic.1557,True
magic.1558,False
magic.1559,True
magic.1560,False
magic.1564,False
magic.1565,False
magic.1566,True
magic.1567,False
magic.1568,True
magic.1570,True
magic.1571,False
magic.1574,True
magic.1575,True
magic.1576,True
magic.1577,True
magic.1579,True
magic.1581,False
magic.1582,False
magic.1583,False
magic.1584,False
magic.1585,True
magic.1588,False
magic.1589,False
magic.1591,True
magic.1596,False
magic.1598,True
magic.1601,False
magic.1602,True
magic.1603,True
magic.1604,False
magic.1608,False
magic.1610,True
magic.1611,False
magic.1612,False
magic.1613,False
magic.1615,False
magic.1616,False
magic.1617,True
magic.1618,True
magic.1620,False
magic.1621,False
magic.1623,False
magic.1624,True
magic.1626,True
magic.1631,False
magic.1633,False
magic.1634,False
magic.1637,True
magic.1640,False
magic.1641,False
magic.1642,False
magic.1643,True
magic.1644,True
magic.1645,True
magic.1646,True
magic.1647,True
magic.1648,False
magic.1649,False
magic.1650,False
magic.1651,False
magic.1654,False
magic.1655,False
magic.1657,False
magic.1658,False
magic.1659,False
magic.1661,False
magic.1662,True
magic.1663,True
magic.1667,False
magic.1668,True
magic.1669,False
magic.1670,False
magic.1672,False
magic.1673,False
magic.1674,False
magic.1675,True
magic.1676,False
magic.1679,False
magic.1680,False
magic.1681,False
magic.1683,True
magic.1684,False
magic.1685,False
magic.1686,True
magic.1687,True
magic.1688,False
magic.1690,True
magic.1691,False
magic.1693,False
magic.1695,False
magic.1696,False
magic.1697,False
magic.1699,False
magic.1700,True
magic.1703,False
magic.1706,True
magic.1707,True
magic.1708,True
magic.1709,False
magic.1710,False
magic.1711,False
magic.1713,True
magic.1714,False
magic.1716,True
magic.1717,False
magic.1718,False
magic.1719,True
magic.1720,False
magic.1721,True
magic.1725,False
magic.1726,True
magic.1727,True
magic.1728,True
magic.1729,False
magic.1730,True
magic.1732,False
magic.1734,False
magic.1737,False
magic.1740,False
magic.1741,True
magic.1743,True
magic.1745,False
magic.1747,True
magic.1748,False
magic.1750,False
magic.1751,True
magic.1752,True
magic.1755,True
magic.1757,False
magic.1759,False
magic.1761,False
magic.1763,True
magic.1764,True
magic.1765,False
magic.1766,True
magic.1768,True
magic.1769,True
magic.1771,False
magic.1772,False
magic.1774,True
magic.1776,True
magic.1777,False
magic.1780,False
magic.1781,True
magic.1782,False
magic.1783,True
magic.1784,False
magic.1785,False
magic.1786,False
magic.1789,False
magic.1790,False
magic.1791,True
magic.1792,True
magic.1793,True
magic.1794,True
magic.1795,False
magic.1797,True
magic.1798,False
magic.1801,True
magic.1803,False
magic.1805,False
magic.1806,False
magic.1809,False
magic.1811,False
magic.1812,False
magic.1816,True
magic.1817,False
magic.1819,False
magic.1820,False
magic.1821,True
magic.1823,False
magic.1825,True
magic.1826,True
magic.1827,True
magic.1829,True
magic.1830,True
magic.1831,False
magic.1834,True
magic.1835,True
magic.1836,False
magic.1837,True
magic.1838,False
magic.1839,False
magic.1840,False
magic.1841,False
magic.1844,False
magic.1846,False
magic.1847,False
magic.1848,True
magic.1850,True
magic.1851,True
magic.1854,False
magic.1858,False
magic.1859,True
magic.1860,False
magic.1861,False
magic.1862,False
magic.1864,True
magic.1865,True
magic.1866,False
magic.1867,False
magic.1868,False
magic.1869,False
magic.1871,True
magic.1872,False
magic.1873,True
magic.1875,False
magic.1876,False
magic.1877,False
magic.1879,False
magic.1881,True
magic.1882,False
magic.1883,True
magic.1884,True
magic.1885,False
magic.1888,False
magic.1889,False
magic.1890,False
magic.1891,True
magic.1892,False
magic.1893,False
magic.1895,True
magic.1896,True
magic.1898,True
magic.1900,True
magic.1901,False
magic.1902,False
magic.1903,False
magic.1904,False
magic.1906,True
magic.1908,False
magic.1909,True
magic.1911,False
magic.1912,False
magic.1914,False
magic.1915,False
magic.1918,True
magic.1919,False
magic.1920,False
magic.1921,False
magic.1922,False
magic.1923,True
magic.1924,False
magic.1926,True
magic.1927,False
magic.1928,False
magic.1930,False
magic.1932,False
magic.1933,False
magic.1934,False
magic.1935,False
magic.1936,False
magic.1938,False
magic.1939,False
magic.1940,False
magic.1941,False
magic.1942,True
magic.1943,False
magic.1944,True
magic.1947,False
magic.1948,True
magic.1950,False
magic.1951,False
magic.1952,False
magic.1953,False
magic.1954,False
magic.1957,False
magic.1958,False
magic.1959,False
magic.1960,False
magic.1961,False
magic.1962,False
magic.1963,False
magic.1964,True
magic.1965,False
magic.1966,False
magic.1967,False
magic.1968,True
magic.1969,False
magic.1971,False
magic.1972,False
magic.1973,False
magic.1974,False
magic.1975,False
magic.1977,False
magic.1979,False
magic.1980,False
magic.1986,True
magic.1987,True
magic.1988,False
magic.1989,False
magic.1990,False
magic.1991,False
magic.1993,True
magic.1996,True
magic.1997,True
magic.1998,False
magic.1999,False
magic.2000,False
magic.2001,False
magic.2003,False
magic.2004,False
magic.2006,False
magic.2007,False
magic.2008,False
magic.2009,False
magic.2010,True
magic.2012,False
magic.2014,True
magic.2016,False
magic.2017,False
magic.2018,True
magic.2019,True
magic.2020,True
magic.2021,False
magic.2022,False
magic.2024,False
magic.2025,False
magic.2027,True
magic.2029,True
magic.2030,True
magic.2031,False
magic.2032,False
magic.2033,True
magic.2034,True
magic.2036,True
magic.2038,False
magic.2040,False
magic.2041,True
magic.2043,False
magic.2044,False
magic.2045,False
magic.2047,False
magic.2048,False
magic.2049,False
magic.2051,True
magic.2053,False
magic.2054,True
magic.2055,False
magic.2056,False
magic.2059,False
magic.2060,True
magic.2061,False
magic.2063,False
magic.2064,True
magic.2067,True
magic.2068,False
magic.2069,True
magic.2070,True
magic.2071,False
magic.2072,False
magic.2073,False
magic.2074,True
magic.2075,False
magic.2077,True
magic.2079,True
magic.2080,False
magic.2082,True
magic.2086,False
magic.2088,False
magic.2089,True
magic.2090,False
magic.2092,True
magic.2093,True
magic.2094,False
magic.2095,False
magic.2096,False
magic.2097,False
magic.2098,True
magic.2099,False
magic.2100,True
magic.2102,True
magic.2104,True
magic.2106,False
magic.2107,False
magic.2111,True
magic.2112,True
magic.2113,False
magic.2115,False
magic.2120,False
magic.2121,False
magic.2122,True
magic.2123,False
magic.2124,False
magic.2126,True
magic.2128,True
magic.2129,False
magic.2130,True
magic.2132,True
magic.2134,True
magic.2135,False
magic.2136,True
magic.2140,False
magic.2141,True
magic.2142,True
magic.2146,False
magic.2147,False
magic.2148,True
magic.2149,False
magic.2151,True
magic.2153,True
magic.2154,False
magic.2155,False
magic.2156,False
magic.2157,True
magic.2158,False
magic.2159,False
magic.2161,True
magic.2162,True
magic.2163,False
magic.2164,False
magic.2165,False
magic.2166,True
magic.2167,False
magic.2168,False
magic.2169,False
magic.2170,True
magic.2171,True
magic.2173,False
magic.2174,False
magic.2175,False
magic.2176,True
magic.2179,False
magic.2182,True
magic.2184,False
magic.2185,False
magic.2186,False
magic.2187,True
magic.2188,True
magic.2189,False
magic.2192,False
magic.2193,False
magic.2195,False
magic.2197,True
magic.2198,False
magic.2199,True
magic.2200,True
magic.2201,False
magic.2203,False
magic.2205,False
magic.2206,False
magic.2208,False
magic.2209,True
magic.2211,False
magic.2212,False
magic.2213,True
magic.2214,False
magic.2215,False
magic.2220,False
magic.2221,False
magic.2223,True
magic.2224,False
magic.2226,False
magic.2228,False
magic.2229,False
magic.2231,False
magic.2232,False
magic.2233,False
magic.2235,False
magic.2236,False
magic.2237,True
magic.2240,False
magic.2242,False
magic.2244,False
magic.2246,False
magic.2250,False
magic.2251,True
magic.2258,False
magic.2259,False
magic.2261,False
magic.2262,False
magic.2264,False
magic.2265,False
magic.2267,False
magic.2269,False
magic.2270,False
magic.2271,False
magic.2272,False
magic.2276,False
magic.2278,True
magic.2279,True
magic.2280,True
magic.2292,False
magic.2295,False
magic.2296,False
magic.2297,False
magic.2298,False
magic.2299,False
magic.2301,False
magic.2302,True
magic.2303,False
magic.2305,False
magic.2308,True
magic.2309,True
magic.2310,False
magic.2311,False
magic.2312,False
magic.2313,False
magic.2314,True
magic.2315,False
magic.2316,False
magic.2318,False
magic.2321,False
magic.2322,False
magic.2324,True
magic.2326,True
magic.2327,False
magic.2328,False
magic.2330,True
magic.2331,False
magic.2334,False
magic.2335,False
magic.2336,False
magic.2338,True
magic.2340,False
magic.2341,True
magic.2343,False
magic.2345,False
magic.2346,False
magic.2347,False
magic.2348,False
magic.2351,False
magic.2352,False
magic.2353,False
magic.2354,False
magic.2356,False
magic.2357,True
magic.2358,False
magic.2360,False
magic.2362,False
magic.2365,True
magic.2367,False
magic.2372,False
magic.2376,True
magic.2379,True
magic.2380,False
magic.2383,False
magic.2385,False
magic.2387,False
magic.2388,False
magic.2390,False
magic.2391,False
magic.2397,True
magic.2403,False
magic.2406,False
magic.2409,False
magic.2412,False
magic.2413,False
magic.2415,True
magic.2416,True
magic.2417,False
magic.2418,False
magic.2420,True
magic.2423,False
magic.2425,False
magic.2426,False
magic.2429,False
magic.2431,False
magic.2432,False
magic.2435,False
magic.2436,False
magic.2438,False
magic.2439,False
magic.2440,False
magic.2441,False
magic.2442,False
magic.2444,False
magic.2448,False
magic.2450,True
magic.2453,False
magic.2454,False
magic.2456,False
magic.2457,True
magic.2459,False
magic.2462,False
magic.2469,False
magic.2472,True
magic.2475,True
magic.2477,False
magic.2478,True
magic.2479,True
magic.2480,True
magic.2482,False
magic.2483,False
magic.2487,False
magic.2488,True
magic.2489,False
magic.2493,False
magic.2494,False
magic.2495,False
magic.2499,False
magic.2500,True
magic.2501,False
magic.2507,False
magic.2508,False
magic.2513,False
magic.2515,False
magic.2516,False
magic.2519,True
magic.2522,False
magic.2524,False
magic.2525,True
magic.2527,False
magic.2529,True
magic.2530,False
magic.2532,False
magic.2534,False
magic.2535,True
magic.2538,False
magic.2539,False
magic.2542,True
magic.2544,False
