sample_id,read_count
magic.0317,0
magic.0318,0
magic.0319,2
magic.0320,0
magic.0321,9
magic.0322,0
magic.0324,5
magic.0325,18
magic.0327,6
magic.0328,1
magic.0330,1
magic.0331,5
magic.0333,0
magic.0334,1
magic.0335,0
magic.0336,14
magic.0337,0
magic.0339,1
magic.0340,0
magic.0341,2
magic.0342,0
magic.0343,1
magic.0344,0
magic.0348,0
magic.0349,2
magic.0351,0
magic.0353,0
magic.0358,0
magic.0360,14
magic.0361,1
magic.0363,1
magic.0364,0
magic.0365,12
magic.0367,0
magic.0368,1
magic.0369,2
magic.0370,0
magic.0372,4
magic.0374,0
magic.0375,0
magic.0377,1
magic.0378,0
magic.0379,0
magic.0380,0
magic.0385,47
magic.0386,5
magic.0387,3
magic.0389,10
magic.0390,2
magic.0392,0
magic.0394,0
magic.0395,1
magic.0396,0
magic.0397,0
magic.0398,0
magic.0399,0
magic.0400,0
magic.0401,0
magic.0402,0
magic.0403,2
magic.0406,0
magic.0408,0
magic.0409,4
magic.0410,0
magic.0411,0
magic.0413,0
magic.0414,0
magic.0415,0
magic.0416,6
magic.0417,0
magic.0418,0
magic.0419,0
magic.0420,0
magic.0421,10
magic.0422,0
magic.0423,0
magic.0426,0
magic.0427,0
magic.0428,0
magic.0429,0
magic.0430,0
magic.0431,0
magic.0432,0
magic.0433,0
magic.0434,1
magic.0435,1
magic.0436,0
magic.0437,5
magic.0438,0
magic.0439,0
magic.0440,0
magic.0441,0
magic.0442,0
magic.0444,0
magic.0445,0
magic.0447,0
magic.0448,1
magic.0449,1
magic.0450,0
magic.0451,0
magic.0452,0
magic.0453,2
magic.0455,3
magic.0456,0
magic.0457,2
magic.0458,0
magic.0459,0
magic.0460,1
magic.0461,0
magic.0462,0
magic.0464,0
magic.0465,0
magic.0467,0
magic.0470,0
magic.0471,0
magic.0472,0
magic.0473,0
magic.0475,0
magic.0477,1
magic.0478,1
magic.0480,0
magic.0481,5
magic.0482,1
magic.0484,0
magic.0485,2
magic.0487,0
magic.0490,9
magic.0493,181
magic.0495,10
magic.0496,0
magic.0497,2
magic.0498,1
magic.0499,0
magic.0500,0
magic.0502,0
magic.0503,2
magic.0506,0
magic.0512,0
magic.0513,0
magic.0514,0
magic.0515,2
magic.0516,0
magic.0517,0
magic.0518,0
magic.0519,0
magic.0520,0
magic.0522,1
magic.0524,5
magic.0525,4
magic.0526,0
magic.0527,0
magic.0529,0
magic.0531,0
magic.0532,0
magic.0533,0
magic.0534,0
magic.0535,0
magic.0536,0
magic.0537,0
magic.0538,2
magic.0539,1
magic.0541,0
magic.0542,0
magic.0543,0
magic.0544,0
magic.0546,0
magic.0547,0
magic.0548,0
magic.0549,0
magic.0551,0
magic.0552,0
magic.0553,0
magic.0554,0
magic.0555,1
magic.0558,0
magic.0559,0
magic.0560,0
magic.0561,0
magic.0563,0
magic.0564,0
magic.0569,0
magic.0570,0
magic.0571,0
magic.0572,1
magic.0573,0
magic.0574,0
magic.0577,0
magic.0579,0
magic.0580,0
magic.0583,0
magic.0584,8
magic.0585,0
magic.0587,1
magic.0588,0
magic.0589,35
magic.0590,0
magic.0592,0
magic.0593,0
magic.0594,0
magic.0597,0
magic.0600,0
magic.0601,1
magic.0602,0
magic.0604,0
magic.0605,0
magic.0606,0
magic.0608,1
magic.0609,0
magic.0610,0
magic.0612,1
magic.0614,0
magic.0615,0
magic.0618,0
magic.0619,1
magic.0620,0
magic.0621,0
magic.0622,0
magic.0624,0
magic.0625,0
magic.0626,0
magic.0627,4
magic.0628,0
magic.0630,1
magic.0631,0
magic.0632,0
magic.0633,0
magic.0634,0
magic.0635,5
magic.0637,1
magic.0638,0
magic.0640,0
magic.0643,0
magic.0644,0
magic.0645,0
magic.0646,0
magic.0647,0
magic.0648,0
magic.0649,0
magic.0651,0
magic.0652,0
magic.0653,0
magic.0654,0
magic.0655,0
magic.0656,0
magic.0657,2
magic.0658,0
magic.0659,0
magic.0662,0
magic.0663,0
magic.0664,3
magic.0665,1
magic.0666,0
magic.0667,0
magic.0671,0
magic.0672,0
magic.0673,0
magic.0674,0
magic.0676,0
magic.0677,0
magic.0678,0
magic.0679,1
magic.0680,0
magic.0681,0
magic.0683,0
magic.0684,0
magic.0687,3
magic.0690,0
magic.0691,0
magic.0692,0
magic.0694,0
magic.0695,1
magic.0696,1
magic.0697,1
magic.0699,5
magic.0700,0
magic.0701,0
magic.0703,0
magic.0704,0
magic.0705,9
magic.0706,0
magic.0707,0
magic.0710,0
magic.0711,0
magic.0712,1
magic.0713,0
magic.0714,5
magic.0715,5
magic.0716,0
magic.0717,0
magic.0718,13
magic.0719,0
magic.0721,0
magic.0722,5
magic.0723,2
magic.0724,0
magic.0725,2
magic.0727,1
magic.0729,7
magic.0730,1
magic.0731,0
magic.0732,2
magic.0733,10
magic.0734,2
magic.0735,3
magic.0737,19
magic.0738,0
magic.0739,0
magic.0740,1
magic.0742,66
magic.0743,0
magic.0744,0
magic.0746,0
magic.0747,0
magic.0748,1
magic.0749,0
magic.0752,0
magic.0753,0
magic.0754,11
magic.0755,1
magic.0756,0
magic.0759,1
magic.0761,0
magic.0762,5
magic.0763,0
magic.0765,0
magic.0766,5
magic.0767,0
magic.0768,11
magic.0769,0
magic.0771,1
magic.0772,0
magic.0773,0
magic.0775,10
magic.0777,0
magic.0778,0
magic.0779,0
magic.0780,0
magic.0781,0
magic.0782,0
magic.0783,3
magic.0784,0
magic.0785,0
magic.0786,0
magic.0788,0
magic.0790,0
magic.0792,1
magic.0794,0
magic.0795,3
magic.0796,0
magic.0797,0
magic.0800,2
magic.0802,2
magic.0803,0
magic.0806,0
magic.0807,2
magic.0808,0
magic.0811,0
magic.0812,0
magic.0813,3
magic.0814,0
magic.0815,1
magic.0816,2
magic.0817,0
magic.0818,0
magic.0819,4
magic.0820,1
magic.0821,7
magic.0822,1
magic.0824,0
magic.0825,23
magic.0827,0
magic.0828,0
magic.0829,0
magic.0830,3
magic.0831,3
magic.0832,0
magic.0834,29
magic.0835,0
magic.0836,40
magic.0837,26
magic.0839,0
magic.0840,0
magic.0841,1
magic.0842,0
magic.0844,3
magic.0845,0
magic.0846,0
magic.0847,12
magic.0848,1
magic.0849,1
magic.0850,0
magic.0853,0
magic.0855,0
magic.0856,2
magic.0857,0
magic.0859,0
magic.0860,0
magic.0862,0
magic.0865,1
magic.0866,2
magic.0867,0
magic.0868,0
magic.0870,4
magic.0871,0
magic.0872,4
magic.0873,4
magic.0874,0
magic.0875,6
magic.0876,0
magic.0877,5
magic.0878,0
magic.0879,0
magic.0880,0
magic.0881,0
magic.0882,0
magic.0883,0
magic.0884,0
magic.0885,0
magic.0886,7
magic.0887,0
magic.0888,0
magic.0889,1
magic.0890,0
magic.0891,0
magic.0893,0
magic.0894,0
magic.0895,3
magic.0896,0
magic.0898,0
magic.0901,0
magic.0902,0
magic.0903,0
magic.0904,0
magic.0905,1
magic.0906,0
magic.0908,0
magic.0909,0
magic.0910,0
magic.0911,0
magic.0913,0
magic.0914,0
magic.0916,2
magic.0918,2
magic.0920,1
magic.0921,0
magic.0922,0
magic.0929,0
magic.0930,11
magic.0931,0
magic.0933,0
magic.0934,19
magic.0935,0
magic.0936,2
magic.0937,4
magic.0938,1
magic.0939,0
magic.0940,0
magic.0941,1
magic.0942,1
magic.0943,0
magic.0944,0
magic.0946,0
magic.0947,0
magic.0949,0
magic.0950,0
magic.0951,5
magic.0952,1
magic.0954,2
magic.0955,0
magic.0956,0
magic.0957,0
magic.0959,1
magic.0960,0
magic.0961,0
magic.0962,0
magic.0963,0
magic.0964,1
magic.0966,0
magic.0967,0
magic.0970,0
magic.0972,0
magic.0973,0
magic.0974,0
magic.0975,0
magic.0976,3
magic.0977,2
magic.0978,5
magic.0979,0
magic.0983,0
magic.0985,0
magic.0986,32
magic.0987,0
magic.0988,0
magic.0989,0
magic.0990,0
magic.0991,0
magic.0993,0
magic.0998,0
magic.0999,0
magic.1000,1
magic.1001,0
magic.1002,1
magic.1003,0
magic.1004,1
magic.1005,0
magic.1006,0
magic.1008,0
magic.1009,0
magic.1010,0
magic.1011,2
magic.1013,0
magic.1016,0
magic.1017,0
magic.1018,0
magic.1021,2
magic.1022,0
magic.1023,0
magic.1027,0
magic.1028,0
magic.1029,0
magic.1031,0
magic.1032,2
magic.1033,18
magic.1034,5
magic.1036,0
magic.1037,1
magic.1038,9
magic.1039,0
magic.1040,0
magic.1041,0
magic.1043,0
magic.1044,0
magic.1045,17
magic.1046,0
magic.1047,0
magic.1048,0
magic.1049,0
magic.1050,2
magic.1053,0
magic.1054,1
magic.1056,0
magic.1057,0
magic.1059,0
magic.1061,0
magic.1062,0
magic.1063,0
magic.1064,0
magic.1065,0
magic.1066,0
magic.1068,0
magic.1070,4
magic.1071,0
magic.1074,0
magic.1075,0
magic.1076,3
magic.1078,0
magic.1079,0
magic.1080,0
magic.1081,18
magic.1082,0
magic.1083,0
magic.1085,0
magic.1086,0
magic.1089,0
magic.1090,0
magic.1091,0
magic.1093,0
magic.1094,0
magic.1095,0
magic.1097,5
magic.1099,2
magic.1101,0
magic.1103,21
magic.1104,5
magic.1105,0
magic.1106,0
magic.1109,0
magic.1112,8
magic.1113,0
magic.1114,2
magic.1115,0
magic.1116,0
magic.1118,0
magic.1119,0
magic.1120,5
magic.1121,0
magic.1122,0
magic.1124,0
magic.1126,64
magic.1127,7
magic.1129,0
magic.1130,0
magic.1131,0
magic.1132,0
magic.1133,2
magic.1134,2
magic.1135,0
magic.1136,0
magic.1137,0
magic.1138,0
magic.1139,0
magic.1142,2
magic.1143,0
magic.1144,0
magic.1145,0
magic.1147,0
magic.1150,0
magic.1151,0
magic.1153,0
magic.1154,1
magic.1155,3
magic.1156,0
magic.1157,0
magic.1158,0
magic.1159,1
magic.1160,5
magic.1161,4
magic.1163,1
magic.1169,2
magic.1170,3
magic.1171,16
magic.1172,0
magic.1173,0
magic.1174,0
magic.1175,0
magic.1176,0
magic.1178,0
magic.1179,2
magic.1180,0
magic.1181,0
magic.1182,0
magic.1184,2
magic.1186,1
magic.1187,1
magic.1188,0
magic.1189,0
magic.1190,0
magic.1191,0
magic.1192,15
magic.1194,0
magic.1195,0
magic.1196,1
magic.1197,0
magic.1198,0
magic.1199,0
magic.1200,0
magic.1202,0
magic.1203,8
magic.1204,1
magic.1206,1
magic.1207,0
magic.1208,2
magic.1209,0
magic.1210,0
magic.1213,0
magic.1214,3
magic.1215,0
magic.1216,0
magic.1217,0
magic.1218,0
magic.1220,0
magic.1221,0
magic.1222,0
magic.1223,0
magic.1224,0
magic.1225,0
magic.1226,4
magic.1227,2
magic.1228,1
magic.1230,0
magic.1232,0
magic.1234,5
magic.1235,0
magic.1236,0
magic.1237,8
magic.1238,0
magic.1239,0
magic.1241,1
magic.1242,0
magic.1245,0
magic.1247,0
magic.1248,1
magic.1251,0
magic.1252,0
magic.1254,0
magic.1255,23
magic.1256,1
magic.1257,0
magic.1258,1
magic.1260,2
magic.1261,1
magic.1262,0
magic.1264,0
magic.1265,0
magic.1268,0
magic.1269,2
magic.1271,0
magic.1272,0
magic.1273,2
magic.1274,0
magic.1275,3
magic.1276,0
magic.1277,0
magic.1278,0
magic.1279,3
magic.1280,0
magic.1281,16
magic.1282,2
magic.1283,0
magic.1285,0
magic.1286,1
magic.1287,0
magic.1288,0
magic.1289,0
magic.1290,0
magic.1291,0
magic.1292,0
magic.1293,0
magic.1294,0
magic.1295,4
magic.1296,0
magic.1297,0
magic.1298,0
magic.1300,0
magic.1301,0
magic.1302,0
magic.1303,0
magic.1304,0
magic.1305,0
magic.1306,0
magic.1307,0
magic.1309,0
magic.1310,0
magic.1311,0
magic.1312,1
magic.1313,0
magic.1314,0
magic.1316,0
magic.1317,2
magic.1318,0
magic.1319,0
magic.1320,0
magic.1321,0
magic.1322,5
magic.1323,0
magic.1325,0
magic.1326,0
magic.1327,0
magic.1328,1
magic.1330,0
magic.1331,0
magic.1332,0
magic.1333,0
magic.1334,0
magic.1335,0
magic.1336,0
magic.1337,0
magic.1338,0
magic.1339,0
magic.1341,0
magic.1342,21
magic.1343,0
magic.1345,0
magic.1348,0
magic.1349,0
magic.1351,0
magic.1352,0
magic.1353,0
magic.1354,0
magic.1356,5
magic.1358,0
magic.1360,1
magic.1362,0
magic.1363,3
magic.1365,1
magic.1366,0
magic.1367,0
magic.1368,1
magic.1369,0
magic.1370,0
magic.1373,0
magic.1374,0
magic.1376,0
magic.1377,0
magic.1379,0
magic.1382,0
magic.1383,0
magic.1386,3
magic.1387,0
magic.1388,2
magic.1391,0
magic.1394,0
magic.1395,1
magic.1396,0
magic.1397,0
magic.1398,0
magic.1399,1
magic.1400,1
magic.1402,0
magic.1403,0
magic.1404,0
magic.1405,0
magic.1407,21
magic.1408,0
magic.1412,0
magic.1413,0
magic.1414,0
magic.1415,0
magic.1417,0
magic.1418,1
magic.1419,0
magic.1420,0
magic.1424,1
magic.1425,1
magic.1426,0
magic.1427,2
magic.1428,7
magic.1429,0
magic.1430,7
magic.1431,2
magic.1432,0
magic.1433,1
magic.1434,0
magic.1435,3
magic.1436,0
magic.1437,0
magic.1438,1
magic.1440,0
magic.1442,0
magic.1443,6
magic.1444,1
magic.1445,0
magic.1446,2
magic.1448,0
magic.1450,0
magic.1451,0
magic.1452,0
magic.1453,0
magic.1455,0
magic.1456,0
magic.1457,0
magic.1460,3
magic.1461,0
magic.1462,0
magic.1463,0
magic.1464,1
magic.1465,1
magic.1467,268
magic.1468,0
magic.1469,0
magic.1470,3
magic.1471,0
magic.1472,8
magic.1473,0
magic.1474,0
magic.1475,0
magic.1476,0
magic.1478,1
magic.1479,0
magic.1480,0
magic.1481,0
magic.1482,0
magic.1484,1
magic.1485,0
magic.1486,0
magic.1488,0
magic.1489,0
magic.1490,0
magic.1493,0
magic.1494,0
magic.1495,0
magic.1496,14
magic.1497,0
magic.1499,5
magic.1501,0
magic.1502,1
magic.1504,0
magic.1506,0
magic.1508,0
magic.1510,0
magic.1511,0
magic.1514,0
magic.1516,31
magic.1518,1
magic.1519,1
magic.1521,0
magic.1523,0
magic.1525,0
magic.1526,0
magic.1527,1
magic.1528,0
magic.1529,0
magic.1530,0
magic.1534,0
magic.1536,0
magic.1537,2
magic.1538,968
magic.1539,0
magic.1540,0
magic.1541,0
magic.1542,0
magic.1543,0
magic.1546,0
magic.1553,0
magic.1555,4
magic.1557,0
magic.1558,0
magic.1559,0
magic.1560,1
magic.1562,1
magic.1564,19
magic.1565,0
magic.1566,1
magic.1567,0
magic.1568,211
magic.1570,1
magic.1571,0
magic.1574,0
magic.1575,0
magic.1576,0
magic.1577,0
magic.1579,1
magic.1581,3
magic.1582,14
magic.1583,0
magic.1584,0
magic.1585,0
magic.1587,1
magic.1588,0
magic.1589,230
magic.1591,0
magic.1594,1
magic.1595,0
magic.1596,1
magic.1598,0
magic.1599,1
magic.1601,0
magic.1602,3
magic.1603,1
magic.1604,0
magic.1605,1
magic.1607,1
magic.1608,0
magic.1610,0
magic.1611,15
magic.1612,0
magic.1613,0
magic.1615,0
magic.1616,9
magic.1617,161
magic.1618,0
magic.1620,1
magic.1621,0
magic.1622,0
magic.1623,0
magic.1624,0
magic.1626,0
magic.1630,2
magic.1631,0
magic.1633,0
magic.1634,0
magic.1636,1
magic.1637,0
magic.1639,1
magic.1640,1
magic.1641,0
magic.1642,0
magic.1643,0
magic.1644,0
magic.1645,1
magic.1646,0
magic.1647,0
magic.1648,5
magic.1649,10
magic.1650,0
magic.1651,0
magic.1653,1
magic.1654,0
magic.1655,0
magic.1656,0
magic.1657,5
magic.1658,0
magic.1659,0
magic.1661,4
magic.1662,3
magic.1663,3
magic.1666,0
magic.1667,26
magic.1668,0
magic.1669,0
magic.1670,0
magic.1672,0
magic.1673,0
magic.1674,0
magic.1675,0
magic.1676,0
magic.1679,2
magic.1680,0
magic.1681,7
magic.1683,0
magic.1684,2
magic.1685,0
magic.1686,0
magic.1687,0
magic.1688,0
magic.1690,0
magic.1691,0
magic.1693,0
magic.1694,0
magic.1695,3
magic.1696,0
magic.1697,2
magic.1699,0
magic.1700,0
magic.1701,1
magic.1703,0
magic.1705,0
magic.1706,4
magic.1707,1
magic.1708,1
magic.1709,4
magic.1710,0
magic.1711,4
magic.1713,1
magic.1714,0
magic.1716,0
magic.1717,0
magic.1718,0
magic.1719,0
magic.1720,0
magic.1721,0
magic.1722,1
magic.1725,1
magic.1726,11
magic.1727,0
magic.1728,7
magic.1729,0
magic.1730,3
magic.1732,0
magic.1734,0
magic.1737,0
magic.1740,1
magic.1741,0
magic.1743,0
magic.1745,4
magic.1747,11
magic.1748,0
magic.1749,0
magic.1750,0
magic.1751,2
magic.1752,1
magic.1753,2
magic.1755,0
magic.1757,3
magic.1759,0
magic.1761,0
magic.1763,5
magic.1764,0
magic.1765,0
magic.1766,0
magic.1767,0
magic.1768,0
magic.1769,1
magic.1771,4
magic.1772,7
magic.1774,1
magic.1776,0
magic.1777,1
magic.1780,0
magic.1781,0
magic.1782,0
magic.1783,0
magic.1784,0
magic.1785,0
magic.1786,1
magic.1789,4
magic.1790,0
magic.1791,0
magic.1792,3
magic.1793,0
magic.1794,0
magic.1795,0
magic.1797,0
magic.1798,0
magic.1801,0
magic.1803,0
magic.1805,0
magic.1806,4
magic.1809,0
magic.1811,3
magic.1812,1
magic.1816,0
magic.1817,0
magic.1819,0
magic.1820,0
magic.1821,0
magic.1823,0
magic.1825,0
magic.1826,4
magic.1827,0
magic.1829,39
magic.1830,358
magic.1831,0
magic.1834,0
magic.1835,1
magic.1836,0
magic.1837,3
magic.1838,2
magic.1839,0
magic.1840,0
magic.1841,0
magic.1844,4
magic.1846,1
magic.1847,1
magic.1848,206
magic.1850,0
magic.1851,3
magic.1854,0
magic.1858,0
magic.1859,0
magic.1860,0
magic.1861,0
magic.1862,0
magic.1864,10
magic.1865,0
magic.1866,0
magic.1867,0
magic.1868,3
magic.1869,0
magic.1871,1
magic.1872,0
magic.1873,3
magic.1875,0
magic.1876,0
magic.1877,1
magic.1879,0
magic.1881,2
magic.1882,1
magic.1883,2
magic.1884,20
magic.1885,6
magic.1888,0
magic.1889,0
magic.1890,0
magic.1891,0
magic.1892,6
magic.1893,0
magic.1895,0
magic.1896,0
magic.1898,0
magic.1900,23
magic.1901,0
magic.1902,52
magic.1903,7
magic.1904,0
magic.1906,0
magic.1908,0
magic.1909,0
magic.1911,1
magic.1912,3
magic.1914,0
magic.1915,1
magic.1918,0
magic.1919,1
magic.1920,0
magic.1921,0
magic.1922,232
magic.1923,0
magic.1924,30
magic.1926,0
magic.1927,0
magic.1928,0
magic.1930,0
magic.1932,0
magic.1933,1
magic.1934,1
magic.1935,1
magic.1936,1
magic.1938,0
magic.1939,0
magic.1940,19
magic.1941,0
magic.1942,2
magic.1943,0
magic.1944,1
magic.1947,1
magic.1948,5
magic.1950,0
magic.1951,0
magic.1952,0
magic.1953,0
magic.1954,1
magic.1957,0
magic.1958,0
magic.1959,19
magic.1960,0
magic.1961,0
magic.1962,7
magic.1963,14
magic.1964,0
magic.1965,2
magic.1966,0
magic.1967,0
magic.1968,1
magic.1969,2
magic.1971,0
magic.1972,0
magic.1973,0
magic.1974,0
magic.1975,0
magic.1977,3
magic.1979,1
magic.1980,0
magic.1986,4
magic.1987,1
magic.1988,1
magic.1989,0
magic.1990,1
magic.1991,0
magic.1993,1
magic.1996,6
magic.1997,0
magic.1998,2
magic.1999,1
magic.2000,3
magic.2001,0
magic.2003,6
magic.2004,1
magic.2006,0
magic.2007,0
magic.2008,0
magic.2009,2
magic.2010,0
magic.2012,0
magic.2014,0
magic.2016,1
magic.2017,0
magic.2018,0
magic.2019,5
magic.2020,5
magic.2021,0
magic.2022,0
magic.2024,3
magic.2025,0
magic.2027,5
magic.2029,0
magic.2030,0
magic.2031,0
magic.2032,4
magic.2033,0
magic.2034,0
magic.2036,0
magic.2038,0
magic.2040,1
magic.2041,0
magic.2043,0
magic.2044,17
magic.2045,0
magic.2047,5
magic.2048,0
magic.2049,1
magic.2051,0
magic.2053,0
magic.2054,0
magic.2055,0
magic.2056,2
magic.2059,1
magic.2060,0
magic.2061,48
magic.2063,0
magic.2064,0
magic.2067,8
magic.2068,1
magic.2069,0
magic.2070,0
magic.2071,1
magic.2072,0
magic.2073,0
magic.2074,3
magic.2075,0
magic.2077,0
magic.2079,5
magic.2080,1
magic.2082,2
magic.2086,0
magic.2088,44
magic.2089,0
magic.2090,0
magic.2092,1
magic.2093,1
magic.2094,6
magic.2095,0
magic.2096,0
magic.2097,12
magic.2098,8
magic.2099,0
magic.2100,2
magic.2102,2
magic.2104,0
magic.2106,5
magic.2107,0
magic.2111,0
magic.2112,6
magic.2113,5
magic.2115,0
magic.2120,1
magic.2121,0
magic.2122,0
magic.2123,0
magic.2124,3
magic.2126,0
magic.2128,1
magic.2129,12
magic.2130,1
magic.2132,0
magic.2134,3
magic.2135,0
magic.2136,0
magic.2140,0
magic.2141,0
magic.2142,1
magic.2146,0
magic.2147,0
magic.2148,0
magic.2149,3
magic.2151,0
magic.2153,11
magic.2154,4
magic.2155,0
magic.2156,3
magic.2157,0
magic.2158,0
magic.2159,0
magic.2161,1
magic.2162,16
magic.2163,1
magic.2164,0
magic.2165,0
magic.2166,0
magic.2167,0
magic.2168,1
magic.2169,41
magic.2170,0
magic.2171,2
magic.2173,1
magic.2174,0
magic.2175,10
magic.2176,0
magic.2179,0
magic.2182,0
magic.2184,0
magic.2185,5
magic.2186,0
magic.2187,0
magic.2188,0
magic.2189,0
magic.2192,0
magic.2193,0
magic.2195,0
magic.2197,7
magic.2198,0
magic.2199,0
magic.2200,6
magic.2201,0
magic.2203,0
magic.2205,0
magic.2206,6
magic.2208,2
magic.2209,51
magic.2211,0
magic.2212,0
magic.2213,3
magic.2214,6
magic.2215,1
magic.2220,11
magic.2221,0
magic.2223,2
magic.2224,3
magic.2226,0
magic.2228,0
magic.2229,0
magic.2231,2
magic.2232,16
magic.2233,0
magic.2235,0
magic.2236,0
magic.2237,12
magic.2240,3
magic.2242,0
magic.2244,0
magic.2246,1
magic.2250,0
magic.2251,2
magic.2258,197
magic.2259,0
magic.2261,5
magic.2262,0
magic.2264,15
magic.2265,18
magic.2267,4
magic.2269,0
magic.2270,0
magic.2271,3
magic.2272,6
magic.2276,0
magic.2278,0
magic.2279,2
magic.2280,0
magic.2292,0
magic.2295,0
magic.2296,2
magic.2297,14
magic.2298,0
magic.2299,0
magic.2301,3
magic.2302,0
magic.2303,0
magic.2305,0
magic.2308,0
magic.2309,0
magic.2310,2
magic.2311,1
magic.2312,2
magic.2313,0
magic.2314,4
magic.2315,0
magic.2316,0
magic.2318,23
magic.2321,0
magic.2322,0
magic.2324,0
magic.2326,0
magic.2327,1
magic.2328,4
magic.2330,0
magic.2331,2
magic.2334,0
magic.2335,0
magic.2336,1
magic.2338,2
magic.2340,4
magic.2341,0
magic.2343,0
magic.2345,10
magic.2346,1
magic.2347,0
magic.2348,4
magic.2351,17
magic.2352,0
magic.2353,3
magic.2354,0
magic.2356,0
magic.2357,0
magic.2358,2
magic.2360,0
magic.2362,0
magic.2365,3
magic.2367,0
magic.2372,0
magic.2376,0
magic.2379,0
magic.2380,5
magic.2383,0
magic.2385,0
magic.2387,64
magic.2388,0
magic.2390,0
magic.2391,0
magic.2397,11
magic.2403,0
magic.2406,1
magic.2409,19
magic.2412,0
magic.2413,19
magic.2415,0
magic.2416,1
magic.2417,0
magic.2418,0
magic.2420,10
magic.2423,0
magic.2425,2
magic.2426,4
magic.2429,1
magic.2431,1
magic.2432,4
magic.2435,0
magic.2436,1
magic.2438,0
magic.2439,0
magic.2440,0
magic.2441,2
magic.2442,13
magic.2444,0
magic.2448,0
magic.2450,0
magic.2453,3
magic.2454,5
magic.2456,0
magic.2457,2
magic.2459,2
magic.2462,1
magic.2469,0
magic.2472,0
magic.2475,3
magic.2477,0
magic.2478,10
magic.2479,0
magic.2480,0
magic.2482,0
magic.2483,0
magic.2487,0
magic.2488,0
magic.2489,1
magic.2493,0
magic.2494,0
magic.2495,1
magic.2499,2
magic.2500,0
magic.2501,2
magic.2507,0
magic.2508,0
magic.2513,0
magic.2515,0
magic.2516,0
magic.2519,6
magic.2522,0
magic.2524,0
magic.2525,21
magic.2527,0
magic.2529,0
magic.2530,2
magic.2532,385
magic.2534,0
magic.2535,2
magic.2538,0
magic.2539,0
magic.2542,1
