sample_id,read_count
magic.0001,0
magic.0004,0
magic.0006,2
magic.0007,0
magic.0008,0
magic.0010,0
magic.0011,0
magic.0012,0
magic.0013,0
magic.0014,3
magic.0015,0
magic.0016,0
magic.0017,0
magic.0018,3
magic.0019,10
magic.0020,0
magic.0021,0
magic.0022,2
magic.0023,3
magic.0024,1
magic.0025,1
magic.0026,0
magic.0027,1
magic.0028,0
magic.0030,1
magic.0031,0
magic.0033,5
magic.0034,10
magic.0035,0
magic.0037,2
magic.0038,0
magic.0039,0
magic.0040,0
magic.0041,0
magic.0042,2
magic.0043,13
magic.0044,0
magic.0045,1
magic.0046,0
magic.0048,0
magic.0049,5
magic.0050,0
magic.0051,0
magic.0052,4
magic.0053,0
magic.0059,0
magic.0060,2
magic.0062,0
magic.0063,0
magic.0064,0
magic.0068,873
magic.0070,0
magic.0071,0
magic.0072,0
magic.0073,0
magic.0074,1
magic.0075,0
magic.0077,0
magic.0078,0
magic.0079,0
magic.0080,0
magic.0081,0
magic.0083,1
magic.0084,0
magic.0085,2
magic.0089,14
magic.0094,64
magic.0096,41
magic.0097,0
magic.0100,0
magic.0101,0
magic.0103,1
magic.0104,0
magic.0106,0
magic.0107,2
magic.0108,8
magic.0109,0
magic.0110,0
magic.0111,4
magic.0112,0
magic.0113,3
magic.0115,88
magic.0116,0
magic.0117,1
magic.0119,0
magic.0120,0
magic.0121,5
magic.0122,10
magic.0123,3
magic.0124,0
magic.0125,3
magic.0128,4
magic.0131,2
magic.0132,0
magic.0133,1
magic.0134,0
magic.0135,11
magic.0136,0
magic.0140,46
magic.0141,0
magic.0142,2
magic.0143,0
magic.0145,0
magic.0146,0
magic.0148,0
magic.0149,0
magic.0150,0
magic.0151,0
magic.0152,1
magic.0154,0
magic.0156,0
magic.0158,3
magic.0159,0
magic.0162,0
magic.0164,0
magic.0166,0
magic.0167,2
magic.0168,0
magic.0170,0
magic.0171,0
magic.0172,5
magic.0173,2
magic.0174,1
magic.0175,0
magic.0176,2
magic.0178,1
magic.0179,0
magic.0180,3
magic.0182,8
magic.0183,1
magic.0185,0
magic.0186,0
magic.0189,0
magic.0195,0
magic.0197,0
magic.0200,1
magic.0203,0
magic.0205,0
magic.0208,0
magic.0213,0
magic.0214,3
magic.0215,1
magic.0216,7
magic.0217,0
magic.0218,3
magic.0220,9
magic.0221,0
magic.0225,2
magic.0227,1
magic.0228,0
magic.0230,0
magic.0231,1
magic.0232,0
magic.0233,1
magic.0234,2
magic.0235,0
magic.0236,1
magic.0238,1
magic.0240,0
magic.0242,0
magic.0243,0
magic.0244,0
magic.0245,4
magic.0246,0
magic.0247,0
magic.0249,0
magic.0251,0
magic.0253,3
magic.0255,8
magic.0258,0
magic.0260,0
magic.0261,0
magic.0263,1
magic.0264,7
magic.0265,3
magic.0266,2
magic.0268,0
magic.0269,0
magic.0270,4
magic.0271,2
magic.0272,0
magic.0273,25
magic.0275,0
magic.0276,0
magic.0277,5
magic.0278,0
magic.0279,3
magic.0281,7
magic.0283,0
magic.0284,2
magic.0287,0
magic.0288,0
magic.0290,0
magic.0291,3
magic.0293,5
magic.0298,0
magic.0300,0
magic.0302,0
magic.0303,0
magic.0304,8
magic.0305,0
magic.0307,0
magic.0308,0
magic.0309,19
magic.0311,2
magic.0312,4
magic.0313,6
magic.0314,5
magic.0315,0
magic.0316,1
